SiteID,StudyID,Adjusted ESP with Coil (IWC),Furnace Fan Est. Airflow (CFM),Adjusted ESP with Coil (IWC) - All values,Furnace Fan Est. Airflow (CFM) All Values,Calculated alpha,Report ,Household Type,ESP Includes COIL,ESP Includes FILTER,Test Mode,Static Pressure (pascal),Static Pressure (in w. c.),Area (Sqft),Heated Floor Area (sqft),Heating Equipment Type,Cooling Equipment Type,State/Location,Comment,Air Handler Flow (CFM),Air Handler Flow (in w.c.),Pre-Retrofit (in w.c.),Post-Retrofit (in w.c.),Equipment Airflow Check (CFM),Capacity (Btu/hr),Total CFM,Filter pressure drop (Pa),Filter pressure drop (in w.c.),AC coil pressure drop (in w.c.),Supply plenum pressure wrt basement,ESP Post Coil (Pa),ESP Post Coil (in w.c.),a = P/Q2,AC tonnage,Furnace Location,"Location 1=attic, 2=basement, 3=closet, 4=outside, 5=garage",HOUSE_AGE,Construction,DUCTWORK_NEW,FURNACE_INSTALLED_WAC,FIRSTTIME_AC,DUCT_NUM_ZONES,DUCT_PERC_RIGIDMETAL,CITY,STATE,ZIP,Air Handler Watts,Motor Type,Furnace Input Capacity - High Fire (Btu/hr),Furnace Output Capacity - High Fire (Btu/hr),Furnace Input Capacity - Low Fire (Btu/hr),Furnace Output Capacity - Low Fire (Btu/hr),Blower Hp,Heating Setpoint (deg F),Cooling Setpoint (deg F),Sup. press. filter in place (Pa),Sup. press. TF in place (Pa),Filter pressure drop - fan only (Pa),Filter pressure drop - fan-only (in w.c.),ESP Post Coil - fan only(Pa),ESP Post Coil - fan-only (in w.c.),Supp. Press. Filter and TF ,TF CFM
8,12,0.76,707,0.76,707,1.52E-06,Proctor 2003,Single Family,NO,YES,,139,0.56,,,,,Mt. Sinai,,707.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,12,0.56,1728,0.56,1728,1.87E-07,Proctor 2003,Single Family,YES,YES,,139,0.56,,,,,Nesconset,,1728.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12,0.98,810,0.98,810,1.50E-06,Proctor 2003,Single Family,NO,NO,,141,0.57,,,,,Smithtown,,810.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,12,0.79,1022,0.79,1022,7.55E-07,Proctor 2003,Single Family,NO,YES,,146,0.59,,,,,Bay Shore,,1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,12,0.80,1899,0.80,1899,2.23E-07,Proctor 2003,Single Family,NO,YES,,150,0.60,,,,,Fort Salonga,,1898.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,0.82,1062,0.82,1062,7.28E-07,Proctor 2003,Single Family,NO,YES,,154,0.62,,,,,Hauppauge,,1061.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,12,0.84,1097,0.84,1097,6.99E-07,Proctor 2003,Single Family,NO,YES,,159,0.64,,,,,Bellmore,,1097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,12,1.09,942,1.09,942,1.23E-06,Proctor 2003,Single Family,NO,NO,,169,0.68,,,,,Glen Cove,,942.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,12,0.89,1866,0.89,1866,2.57E-07,Proctor 2003,Single Family,NO,YES,,172,0.69,,,,,Great River,,1865.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,12,0.90,1238,0.90,1238,5.86E-07,Proctor 2003,Single Family,NO,YES,,173,0.70,,,,,Rocky Point,,1238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,12,0.91,591,0.91,591,2.61E-06,Proctor 2003,Single Family,NO,YES,,176,0.71,,,,,Huntington Station,,590.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,12,0.91,946,0.91,946,1.02E-06,Proctor 2003,Single Family,NO,YES,,176,0.71,,,,,Oyster Bay,,946.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,12,0.74,2125,0.74,2125,1.63E-07,Proctor 2003,Single Family,YES,YES,,183,0.74,,,,,Miller Place,,2125.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,12,0.95,1198,0.95,1198,6.62E-07,Proctor 2003,Single Family,NO,YES,,186,0.75,,,,,Islip,,1197.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,12,0.99,814,0.99,814,1.49E-06,Proctor 2003,Single Family,NO,YES,,195,0.78,,,,,Amityville,,814.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,12,1.01,514,1.01,514,3.82E-06,Proctor 2003,Single Family,NO,YES,,201,0.81,,,,,Huntington,,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,12,1.02,843,1.02,843,1.43E-06,Proctor 2003,Single Family,NO,YES,,203,0.82,,,,,Hempstead,,843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,12,1.03,1343,1.03,1343,5.73E-07,Proctor 2003,Single Family,NO,YES,,207,0.83,,,,,West Hempstead ,,1342.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,12,1.04,974,1.04,974,1.09E-06,Proctor 2003,Single Family,NO,YES,,208,0.84,,,,, ,,974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,12,1.04,1308,1.04,1308,6.09E-07,Proctor 2003,Single Family,NO,YES,,209,0.84,,,,,Shirley,,1307.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,12,1.06,1167,1.06,1167,7.77E-07,Proctor 2003,Single Family,NO,YES,,213,0.86,,,,,Coram,,1167.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,0.87,1424,0.87,1424,4.28E-07,Proctor 2003,Single Family,YES,YES,,216,0.87,,,,,Smithtown,,1424.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,12,1.08,816,1.08,816,1.62E-06,Proctor 2003,Single Family,NO,YES,,219,0.88,,,,,Syosset,,816.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,12,1.08,1750,1.08,1750,3.53E-07,Proctor 2003,Single Family,NO,YES,,219,0.88,,,,,Stony Brook,,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,12,1.18,1516,1.18,1516,5.15E-07,Proctor 2003,Single Family,NO,YES,,244,0.98,,,,,Oceanside,,1516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,12,1.46,722,1.46,722,2.79E-06,Proctor 2003,Single Family,NO,YES,,312,1.25,,,,,Merrick,,722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,12,1.47,898,1.47,898,1.83E-06,Proctor 2003,Single Family,NO,YES,,316,1.27,,,,,Bay Shore,,898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,12,2.40,372,0.00,372,0.00E+00,Proctor 2003,Single Family,NO,YES,,547,2.20,,,,,Huntington,,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,13,0.44,1100,0.44,1100,3.60E-07,Proctor 1996a,Single Family,NO,YES,,58,0.23,,,,,Eastern US,,1100,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,0.76,1206,0.76,1206,5.24E-07,Proctor 1996a,Single Family,NO,NO,,86,0.35,,,,,Eastern US,,1206,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,13,0.61,750,0.61,750,1.08E-06,Proctor 1996a,Single Family,NO,YES,,101,0.41,,,,,Eastern US,,750,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,13,0.83,1210,0.83,1210,5.70E-07,Proctor 1996a,Single Family,NO,NO,,104,0.42,,,,,Eastern US,,1210,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,0.63,1530,0.63,1530,2.70E-07,Proctor 1996a,Single Family,NO,YES,,107,0.43,,,,,Eastern US,,1530,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,13,0.68,1578,0.68,1578,2.72E-07,Proctor 1996a,Single Family,NO,YES,,118,0.47,,,,,Eastern US,,1578,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,13,1.00,1260,1.00,1260,6.30E-07,Proctor 1996a,Single Family,NO,NO,,145,0.58,,,,,Eastern US,,1260,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,13,1.09,862,1.09,862,1.46E-06,Proctor 1996a,Single Family,NO,NO,,167,0.67,,,,,Eastern US,,862,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,14,0.50,932,0.50,932,5.74E-07,Proctor 1996b,Single Family,NO,NO,,20,0.08,,,,,Indiana,,932,,,,,,932000,,,,,,,8.75296E-08,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,14,0.51,703,0.51,703,1.03E-06,Proctor 1996b,Single Family,NO,NO,,23,0.09,,,,,Indiana,,703,,,,,,703000,,,,,,,1.30333E-07,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,14,0.51,712,0.51,712,1.01E-06,Proctor 1996b,Single Family,NO,NO,,24,0.10,,,,,Indiana,,712,,,,,,712000,,,,,,,1.3433E-07,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,14,0.52,752,0.52,752,9.15E-07,Proctor 1996b,Single Family,NO,NO,,25,0.10,,,,,Indiana,,752,,,,,,752000,,,,,,,1.33597E-07,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,14,0.32,936,0.32,936,3.71E-07,Proctor 1996b,Single Family,NO,YES,,31,0.12,,,,,Indiana,,936,,,,,,936000,,,,,,,1.30948E-07,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,14,0.57,455,0.57,455,2.75E-06,Proctor 1996b,Single Family,NO,NO,,38,0.15,,,,,Indiana,,455,,,,,,455000,,,,,,,3.35619E-07,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,14,0.58,588,0.58,588,1.66E-06,Proctor 1996b,Single Family,NO,NO,,40,0.16,,,,,Indiana,,588,,,,,,588000,,,,,,,2.69957E-07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,14,0.58,1087,0.58,1087,4.89E-07,Proctor 1996b,Single Family,NO,NO,,40,0.16,,,,,Indiana,,1087,,,,,,1087000,,,,,,,1.47509E-07,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,14,0.58,487,0.58,487,2.44E-06,Proctor 1996b,Single Family,NO,NO,,40,0.16,,,,,Indiana,,487,,,,,,487000,,,,,,,3.30895E-07,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,14,0.59,1125,0.59,1125,4.65E-07,Proctor 1996b,Single Family,NO,NO,,43,0.17,,,,,Indiana,,1125,,,,,,1125000,,,,,,,1.52528E-07,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,14,0.59,712,0.59,712,1.16E-06,Proctor 1996b,Single Family,NO,NO,,43,0.17,,,,,Indiana,,712,,,,,,712000,,,,,,,2.42132E-07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,14,0.59,1233,0.59,1233,3.88E-07,Proctor 1996b,Single Family,NO,NO,,43,0.17,,,,,Indiana,,1233,,,,,,1233000,,,,,,,1.40146E-07,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,14,0.38,725,0.38,725,7.17E-07,Proctor 1996b,Single Family,NO,YES,,44,0.17,,,,,Indiana,,725,,,,,,725000,,,,,,,2.41116E-07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,14,0.38,1268,0.38,1268,2.36E-07,Proctor 1996b,Single Family,NO,YES,,44,0.18,,,,,Indiana,,1268,,,,,,1268000,,,,,,,1.39764E-07,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,14,0.60,955,0.60,955,6.55E-07,Proctor 1996b,Single Family,NO,NO,,45,0.18,,,,,Indiana,,955,,,,,,955000,,,,,,,1.88937E-07,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,14,0.60,1029,0.60,1029,5.67E-07,Proctor 1996b,Single Family,NO,NO,,46,0.18,,,,,Indiana,,1029,,,,,,1029000,,,,,,,1.78474E-07,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,14,0.39,659,0.39,659,8.95E-07,Proctor 1996b,Single Family,NO,YES,,46,0.19,,,,,Indiana,,659,,,,,,659000,,,,,,,2.82948E-07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,14,0.39,984,0.39,984,4.06E-07,Proctor 1996b,Single Family,NO,YES,,48,0.19,,,,,Indiana,,984,,,,,,984000,,,,,,,1.93987E-07,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,14,0.40,1450,0.40,1450,1.88E-07,Proctor 1996b,Single Family,NO,YES,,48,0.19,,,,,Indiana,,1450,,,,,,1450000,,,,,,,1.3303E-07,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14,0.62,1004,0.62,1004,6.12E-07,Proctor 1996b,Single Family,NO,NO,,50,0.20,,,,,Indiana,,1004,,,,,,1004000,,,,,,,1.99329E-07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,14,0.41,1340,0.41,1340,2.27E-07,Proctor 1996b,Single Family,NO,YES,,51,0.21,,,,,Indiana,,1340,,,,,,1340000,,,,,,,1.53247E-07,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,0.62,1196,0.62,1196,4.37E-07,Proctor 1996b,Single Family,NO,NO,,52,0.21,,,,,Indiana,,1196,,,,,,1196000,,,,,,,1.73714E-07,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,14,0.63,1337,0.63,1337,3.50E-07,Proctor 1996b,Single Family,NO,NO,,52,0.21,,,,,Indiana,,1337,,,,,,1337000,,,,,,,1.55694E-07,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,14,0.63,1220,0.63,1220,4.20E-07,Proctor 1996b,Single Family,NO,NO,,52,0.21,,,,,Indiana,,1220,,,,,,1220000,,,,,,,1.70626E-07,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,14,0.42,1018,0.42,1018,4.01E-07,Proctor 1996b,Single Family,NO,YES,,53,0.21,,,,,Indiana,,1018,,,,,,1018000,,,,,,,2.09615E-07,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,14,0.42,793,0.42,793,6.63E-07,Proctor 1996b,Single Family,NO,YES,,53,0.21,,,,,Indiana,,793,,,,,,793000,,,,,,,2.70609E-07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,14,0.43,975,0.43,975,4.47E-07,Proctor 1996b,Single Family,NO,YES,,56,0.22,,,,,Indiana,,975,,,,,,975000,,,,,,,2.28751E-07,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,0.65,645,0.65,645,1.55E-06,Proctor 1996b,Single Family,NO,NO,,57,0.23,,,,,Indiana,,645,,,,,,645000,,,,,,,3.55132E-07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,14,0.43,934,0.43,934,4.94E-07,Proctor 1996b,Single Family,NO,YES,,57,0.23,,,,,Indiana,,934,,,,,,934000,,,,,,,2.45246E-07,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,14,0.43,752,0.43,752,7.63E-07,Proctor 1996b,Single Family,NO,YES,,57,0.23,,,,,Indiana,,752,,,,,,752000,,,,,,,3.04601E-07,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,14,0.65,983,0.65,983,6.72E-07,Proctor 1996b,Single Family,NO,NO,,58,0.23,,,,,Indiana,,983,,,,,,983000,,,,,,,2.36292E-07,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,14,0.65,982,0.65,982,6.74E-07,Proctor 1996b,Single Family,NO,NO,,58,0.23,,,,,Indiana,,982,,,,,,982000,,,,,,,2.36942E-07,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,14,0.65,925,0.65,925,7.60E-07,Proctor 1996b,Single Family,NO,NO,,58,0.23,,,,,Indiana,,925,,,,,,925000,,,,,,,2.51977E-07,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,14,0.44,1108,0.44,1108,3.55E-07,Proctor 1996b,Single Family,NO,YES,,58,0.23,,,,,Indiana,,1108,,,,,,1108000,,,,,,,2.11085E-07,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,14,0.44,378,0.44,378,3.11E-06,Proctor 1996b,Single Family,NO,YES,,60,0.24,,,,,Indiana,,378,,,,,,378000,,,,,,,6.38936E-07,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,14,0.67,754,0.67,754,1.18E-06,Proctor 1996b,Single Family,NO,NO,,63,0.25,,,,,Indiana,,754,,,,,,754000,,,,,,,3.3364E-07,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,14,0.45,890,0.45,890,5.74E-07,Proctor 1996b,Single Family,NO,YES,,63,0.25,,,,,Indiana,,890,,,,,,890000,,,,,,,2.84011E-07,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,14,0.67,742,0.67,742,1.22E-06,Proctor 1996b,Single Family,NO,NO,,64,0.26,,,,,Indiana,,742,,,,,,742000,,,,,,,3.46618E-07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,14,0.46,722,0.46,722,8.84E-07,Proctor 1996b,Single Family,NO,YES,,64,0.26,,,,,Indiana,,722,,,,,,722000,,,,,,,3.57889E-07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,14,0.46,670,0.46,670,1.03E-06,Proctor 1996b,Single Family,NO,YES,,64,0.26,,,,,Indiana,,670,,,,,,670000,,,,,,,3.85666E-07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,14,0.46,946,0.46,946,5.18E-07,Proctor 1996b,Single Family,NO,YES,,65,0.26,,,,,Indiana,,946,,,,,,946000,,,,,,,2.76119E-07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,14,0.47,1064,0.47,1064,4.12E-07,Proctor 1996b,Single Family,NO,YES,,66,0.26,,,,,Indiana,,1064,,,,,,1064000,,,,,,,2.48141E-07,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,14,0.47,1033,0.47,1033,4.40E-07,Proctor 1996b,Single Family,NO,YES,,67,0.27,,,,,Indiana,,1033,,,,,,1033000,,,,,,,2.59089E-07,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,14,0.47,824,0.47,824,6.99E-07,Proctor 1996b,Single Family,NO,YES,,68,0.27,,,,,Indiana,,824,,,,,,824000,,,,,,,3.30657E-07,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,14,0.49,1762,0.49,1762,1.58E-07,Proctor 1996b,Single Family,NO,YES,,72,0.29,,,,,Indiana,,1762,,,,,,1762000,,,,,,,1.64439E-07,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,14,0.49,892,0.49,892,6.20E-07,Proctor 1996b,Single Family,NO,YES,,72,0.29,,,,,Indiana,,892,,,,,,892000,,,,,,,3.26173E-07,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,14,0.50,1053,0.50,1053,4.52E-07,Proctor 1996b,Single Family,NO,YES,,74,0.30,,,,,Indiana,,1053,,,,,,1053000,,,,,,,2.83935E-07,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,14,0.50,915,0.50,915,6.02E-07,Proctor 1996b,Single Family,NO,YES,,75,0.30,,,,,Indiana,,915,,,,,,915000,,,,,,,3.29393E-07,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,14,0.51,640,0.51,640,1.24E-06,Proctor 1996b,Single Family,NO,YES,,76,0.31,,,,,Indiana,,640,,,,,,640000,,,,,,,4.77837E-07,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,14,0.73,1242,0.73,1242,4.72E-07,Proctor 1996b,Single Family,NO,NO,,77,0.31,,,,,Indiana,,1242,,,,,,900000,,,,,,,3.456E-07,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,14,0.51,900,0.51,900,6.34E-07,Proctor 1996b,Single Family,NO,YES,,77,0.31,,,,,Indiana,,900,,,,,,1242000,,,,,,,2.50434E-07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,14,0.52,1492,0.52,1492,2.32E-07,Proctor 1996b,Single Family,NO,YES,,78,0.32,,,,,Indiana,,1492,,,,,,1492000,,,,,,,2.11165E-07,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,14,0.74,1033,0.74,1033,6.91E-07,Proctor 1996b,Single Family,NO,NO,,80,0.32,,,,,Indiana,,1033,,,,,,1033000,,,,,,,3.1044E-07,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,14,0.74,1141,0.74,1141,5.71E-07,Proctor 1996b,Single Family,NO,NO,,81,0.33,,,,,Indiana,,1141,,,,,,1141000,,,,,,,2.86338E-07,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,14,0.75,1094,0.75,1094,6.26E-07,Proctor 1996b,Single Family,NO,NO,,83,0.33,,,,,Indiana,,1094,,,,,,1094000,,,,,,,3.03783E-07,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,14,0.33,705,0.33,705,6.71E-07,Proctor 1996b,Single Family,YES,YES,,83,0.33,,,,,Indiana,,705,,,,,,705000,,,,,,,4.73112E-07,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,14,0.54,1080,0.54,1080,4.61E-07,Proctor 1996b,Single Family,NO,YES,,83,0.34,,,,,Indiana,,1080,,,,,,1080000,,,,,,,3.10325E-07,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,14,0.54,1085,0.54,1085,4.63E-07,Proctor 1996b,Single Family,NO,YES,,85,0.34,,,,,Indiana,,1085,,,,,,1085000,,,,,,,3.15932E-07,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,14,0.76,1231,0.76,1231,5.03E-07,Proctor 1996b,Single Family,NO,NO,,86,0.35,,,,,Indiana,,1231,,,,,,1231000,,,,,,,2.81073E-07,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,14,0.76,998,0.76,998,7.68E-07,Proctor 1996b,Single Family,NO,NO,,87,0.35,,,,,Indiana,,998,,,,,,998000,,,,,,,3.48306E-07,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,14,0.76,802,0.76,802,1.19E-06,Proctor 1996b,Single Family,NO,NO,,87,0.35,,,,,Indiana,,802,,,,,,802000,,,,,,,4.33929E-07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,14,0.55,1135,0.55,1135,4.29E-07,Proctor 1996b,Single Family,NO,YES,,87,0.35,,,,,Indiana,,1135,,,,,,1135000,,,,,,,3.08742E-07,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,14,0.77,518,0.77,518,2.87E-06,Proctor 1996b,Single Family,NO,NO,,88,0.35,,,,,Indiana,,518,,,,,,518000,,,,,,,6.81145E-07,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,14,0.77,1198,0.77,1198,5.37E-07,Proctor 1996b,Single Family,NO,NO,,88,0.35,,,,,Indiana,,1198,,,,,,1198000,,,,,,,2.95189E-07,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,14,0.56,963,0.56,963,6.01E-07,Proctor 1996b,Single Family,NO,YES,,88,0.35,,,,,Indiana,,963,,,,,,963000,,,,,,,3.68476E-07,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,0.56,816,0.56,816,8.38E-07,Proctor 1996b,Single Family,NO,YES,,89,0.36,,,,,Indiana,,816,,,,,,816000,,,,,,,4.35841E-07,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,14,0.57,1455,0.57,1455,2.67E-07,Proctor 1996b,Single Family,NO,YES,,91,0.36,,,,,Indiana,,1455,,,,,,1455000,,,,,,,2.49954E-07,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,14,0.78,1242,0.78,1242,5.08E-07,Proctor 1996b,Single Family,NO,NO,,91,0.37,,,,,Indiana,,1242,,,,,,1242000,,,,,,,2.95733E-07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,14,0.57,1059,0.57,1059,5.08E-07,Proctor 1996b,Single Family,NO,YES,,91,0.37,,,,,Indiana,,1059,,,,,,1059000,,,,,,,3.46837E-07,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,14,0.57,780,0.57,780,9.37E-07,Proctor 1996b,Single Family,NO,YES,,92,0.37,,,,,Indiana,,780,,,,,,780000,,,,,,,4.71413E-07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,14,0.78,1247,0.78,1247,5.05E-07,Proctor 1996b,Single Family,NO,NO,,92,0.37,,,,,Indiana,,1247,,,,,,1247000,,,,,,,2.95191E-07,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,14,0.58,854,0.58,854,7.99E-07,Proctor 1996b,Single Family,NO,YES,,95,0.38,,,,,Indiana,,854,,,,,,854000,,,,,,,4.45152E-07,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,14,0.80,947,0.80,947,8.95E-07,Proctor 1996b,Single Family,NO,NO,,96,0.39,,,,,Indiana,,947,,,,,,947000,,,,,,,4.07377E-07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,14,0.59,910,0.59,910,7.17E-07,Proctor 1996b,Single Family,NO,YES,,98,0.39,,,,,Indiana,,910,,,,,,910000,,,,,,,4.30564E-07,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,14,0.40,1184,0.40,1184,2.84E-07,Proctor 1996b,Single Family,YES,YES,,99,0.40,,,,,Indiana,,1184,,,,,,1184000,,,,,,,3.36015E-07,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,0.62,1095,0.62,1095,5.15E-07,Proctor 1996b,Single Family,NO,YES,,103,0.41,,,,,Indiana,,1095,,,,,,1095000,,,,,,,3.78739E-07,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,14,0.62,1293,0.62,1293,3.70E-07,Proctor 1996b,Single Family,NO,YES,,104,0.42,,,,,Indiana,,1293,,,,,,1293000,,,,,,,3.21985E-07,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,14,0.62,894,0.62,894,7.77E-07,Proctor 1996b,Single Family,NO,YES,,104,0.42,,,,,Indiana,,894,,,,,,894000,,,,,,,4.68837E-07,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,14,0.84,558,0.84,558,2.70E-06,Proctor 1996b,Single Family,NO,NO,,105,0.42,,,,,Indiana,,558,,,,,,558000,,,,,,,7.59069E-07,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
